"Cell age","Growth","Growth rate","Absolute position","Relative position"
15.79,4.71915,0.029358,339.961543,0.408821
15.79,8.898402,0.033572,334.319028,0.402036
15.79,8.002262,0.037995,359.005032,0.431722
15.79,5.560109,0.036673,368.174119,0.442748
15.79,7.870666,0.026673,371.700691,0.446989
15.79,7.61909,0.031191,371.700691,0.446989
15.79,9.809401,0.034683,380.164464,0.457167
15.79,8.866364,0.027183,390.74418,0.46989
15.79,4.70025,0.044806,390.038866,0.469042
15.79,8.191161,0.036545,394.976067,0.474979
15.79,5.377974,0.027424,405.555783,0.487701
15.79,4.602946,0.031145,404.145154,0.486005
15.79,6.904419,0.031145,425.304586,0.51145
15.79,9.818685,0.029785,430.241787,0.517388
15.79,6.003571,0.039646,439.410874,0.528414
15.79,4.695074,0.032874,435.884302,0.524173
15.79,5.751862,0.049966,436.589617,0.525021
15.79,7.919818,0.036542,449.99059,0.541137
15.79,6.795711,0.037186,448.579962,0.53944
15.79,5.397674,0.033686,457.749049,0.550466
15.79,4.290614,0.036774,459.159678,0.552163
15.79,3.626616,0.030509,460.570306,0.553859
15.79,8.230216,0.017627,460.570306,0.553859
15.79,5.42175,0.030428,464.802193,0.558948
15.79,9.986762,0.043501,470.444708,0.565734
15.79,7.274787,0.027273,475.381909,0.571671
15.79,6.961921,0.023494,476.792538,0.573367
15.79,7.051862,0.026641,480.31911,0.577608
15.79,5.216072,0.036291,482.435053,0.580153
15.79,7.930622,0.021669,485.256311,0.583545
15.79,4.28776,0.02585,493.014769,0.592875
15.79,5.126265,0.031948,490.193512,0.589483
15.79,2.705533,0.018636,498.657284,0.599661
15.79,9.002602,0.033942,503.594485,0.605598
15.79,3.920901,0.014412,509.237,0.612383
15.79,5.935118,0.02696,513.468887,0.617472
15.79,7.442463,0.034929,518.406088,0.62341
15.79,6.298256,0.024179,517.700773,0.622561
15.79,5.259449,0.030666,526.869861,0.633588
15.79,4.020659,0.017731,542.386777,0.652248
15.79,9.048366,0.03046,557.903694,0.670908
15.79,5.839869,0.019213,576.241869,0.69296
15.79,6.172502,0.026678,580.473755,0.698049
15.79,6.501413,0.021271,600.222559,0.721798
15.79,4.094353,0.035962,259.555701,0.312129
16.7,3.773731,0.04474,97.204195,0.267668
16.7,7.337242,0.032446,105.545149,0.290636
16.7,5.459974,0.042117,175.801647,0.484099
16.7,5.902161,0.050065,184.784213,0.508834
16.7,5.505143,0.045481,188.313078,0.518551
16.7,5.731935,0.040704,193.445973,0.532686
16.7,5.530742,0.03867,198.899674,0.547703
16.7,4.730819,0.046811,203.711763,0.560954
16.7,5.598901,0.051291,204.032568,0.561837
16.7,4.702654,0.046982,215.260776,0.592756
16.7,5.674463,0.033308,226.809789,0.624558
16.7,5.513118,0.027579,239.000414,0.658127
19.67,8.694889,0.0199,172.727273,0.130584
19.67,8.140517,0.01854,208.333333,0.157503
19.67,15.084757,0.019295,209.848485,0.158648
19.67,5.164414,0.0268,231.818182,0.175258
19.67,7.119305,0.020007,241.666667,0.182703
19.67,7.031773,0.018251,266.666667,0.201604
19.67,5.747964,0.023127,295.454545,0.223368
19.67,7.41108,0.017896,300.757576,0.227377
19.67,17.82744,0.027412,289.393939,0.218786
19.67,8.549002,0.017216,323.484848,0.244559
19.67,7.498612,0.022176,306.818182,0.231959
19.67,8.169694,0.021969,315.909091,0.238832
19.67,3.763895,0.018982,316.666667,0.239404
19.67,6.039738,0.023094,325.757576,0.246277
19.67,4.639219,0.024112,346.969697,0.262314
19.67,5.893851,0.030758,387.121212,0.292669
19.67,5.310301,0.041938,399.242424,0.301833
19.67,4.814284,0.023757,404.545455,0.305842
19.67,8.111339,0.024116,417.424242,0.315578
19.67,8.432292,0.025623,425.757576,0.321879
19.67,6.185626,0.027176,430.30303,0.325315
19.67,7.381902,0.030709,438.636364,0.331615
19.67,48.988989,0.022554,459.090909,0.347079
19.67,5.835496,0.022462,444.69697,0.336197
19.67,13.334108,0.023886,450,0.340206
19.67,10.591425,0.03422,456.818182,0.345361
19.67,8.957486,0.022094,502.272727,0.379725
19.67,10.212118,0.027532,502.272727,0.379725
19.67,8.111339,0.020583,506.818182,0.383162
19.67,7.848742,0.021957,514.393939,0.388889
19.67,9.453503,0.024585,527.272727,0.398625
19.67,8.169694,0.025683,530.30303,0.400916
19.67,6.185626,0.020107,532.575758,0.402635
19.67,8.082162,0.024604,547.727273,0.414089
19.67,13.042333,0.021483,559.090909,0.42268
19.67,10.066231,0.01854,559.090909,0.42268
19.67,9.832811,0.022302,561.363636,0.424399
19.67,10.708135,0.02316,571.212121,0.431844
19.67,6.739998,0.022629,578.030303,0.436999
19.67,9.482681,0.024167,583.333333,0.441008
19.67,6.477401,0.024261,584.090909,0.441581
19.67,12.137832,0.014863,585.606061,0.442726
19.67,6.273158,0.026851,588.636364,0.445017
19.67,8.899131,0.023945,596.212121,0.450745
19.67,8.432292,0.016608,614.393939,0.46449
19.67,5.456189,0.019746,606.818182,0.458763
19.67,8.636534,0.0207,628.787879,0.475372
19.67,5.864673,0.016836,655.30303,0.495418
19.67,7.556967,0.014075,667.424242,0.504582
19.67,5.923028,0.021394,702.272727,0.530928
19.67,4.28909,0.013582,716.666667,0.54181
19.67,5.777141,0.019832,707.575758,0.534937
19.67,5.281124,0.016837,714.393939,0.540092
19.67,13.334108,0.02797,703.787879,0.532073
19.67,5.222769,0.020613,725,0.54811
19.67,6.156448,0.01802,729.545455,0.551546
19.67,5.689609,0.017091,729.545455,0.551546
19.67,5.893851,0.017106,726.515152,0.549255
19.67,4.05567,0.020372,743.939394,0.562428
19.67,5.602076,0.021979,740.151515,0.559565
19.67,8.023807,0.027906,763.636364,0.57732
19.67,9.103374,0.024305,764.393939,0.577892
21.04,6.530441,0.068999,198.091507,0.446348
21.04,8.118704,0.046382,201.292986,0.453562
21.04,7.612431,0.038139,213.298532,0.480613
21.04,7.870903,0.042319,215.299456,0.485122
21.04,8.716941,0.042835,233.70796,0.526601
21.04,17.373093,0.077843,264.522194,0.596032
21.04,11.640195,0.01885,387.779132,0.87376
21.04,2.539733,0.014314,411.390039,0.926961
22.67,13.937436,0.041982,65.282242,0.114334
22.67,9.02099,0.04075,165.64151,0.290102
22.67,5.531849,0.040787,176.35949,0.308874
22.67,8.602366,0.025936,174.897947,0.306314
22.67,8.29177,0.036648,195.359546,0.34215
22.67,5.456305,0.044412,217.769868,0.381399
22.67,6.090182,0.033637,263.564873,0.461604
22.67,8.521016,0.043264,315.20605,0.552048
22.67,11.966713,0.044912,314.718869,0.551195
